PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Title,Embarked,FamilySize,FamilyID,Survived
36,1,1,42.0,1,0,52.0,6,3,2,50,0
368,3,0,,0,0,7.2292,7,1,1,50,1
532,3,1,,0,0,7.2292,6,1,1,50,0
170,3,1,28.0,0,0,56.4958,6,3,1,50,0
489,3,1,30.0,0,0,8.05,6,3,1,50,0
408,2,1,3.0,1,1,18.75,3,3,3,50,1
595,2,1,37.0,1,0,26.0,6,3,2,50,0
238,2,0,8.0,0,2,26.25,4,3,3,11,1
206,3,0,2.0,0,1,10.4625,4,3,2,50,0
739,3,1,,0,0,7.8958,6,3,1,50,0
589,3,1,22.0,0,0,8.05,6,3,1,50,0
146,2,1,19.0,1,1,36.75,6,3,3,50,0
852,3,1,74.0,0,0,7.775,6,3,1,50,0
85,2,0,17.0,0,0,10.5,4,3,1,50,1
248,2,0,24.0,0,2,14.5,7,3,3,50,1
434,3,1,17.0,0,0,7.125,6,3,1,50,0
500,3,1,24.0,0,0,7.7958,6,3,1,50,0
274,1,1,37.0,0,1,29.7,6,1,2,50,0
479,3,1,22.0,0,0,7.5208,6,3,1,50,0
174,3,1,21.0,0,0,7.925,6,3,1,50,0
118,2,1,29.0,1,0,21.0,6,3,2,50,0
50,3,0,18.0,1,0,17.8,7,3,2,50,0
490,3,1,9.0,1,1,15.9,3,3,3,13,1
168,3,0,45.0,1,4,27.9,7,3,6,49,0
246,1,1,44.0,2,0,90.0,1,2,3,50,0
130,3,1,45.0,0,0,6.975,6,3,1,50,0
804,3,1,0.42,0,1,8.5167,3,1,2,50,1
702,1,1,35.0,0,0,26.2875,6,3,1,50,1
293,2,1,36.0,0,0,12.875,6,1,1,50,0
86,3,0,33.0,3,0,15.85,7,3,4,50,1
1,3,1,22.0,1,0,7.25,6,3,2,50,0
263,1,1,52.0,1,1,79.65,6,3,3,52,0
465,3,1,,0,0,8.05,6,3,1,50,0
387,3,1,1.0,5,2,46.9,3,3,8,24,0
82,3,1,29.0,0,0,9.5,6,3,1,50,1
265,3,0,,0,0,7.75,4,2,1,50,0
738,1,1,35.0,0,0,512.3292,6,1,1,50,1
225,1,1,38.0,1,0,90.0,6,3,2,50,1
844,3,1,34.5,0,0,6.4375,6,1,1,50,0
467,2,1,,0,0,0.0,6,3,1,50,0
618,3,0,26.0,1,0,16.1,7,3,2,50,0
346,2,0,24.0,0,0,13.0,4,3,1,50,1
523,3,1,,0,0,7.225,6,1,1,50,0
71,2,1,32.0,0,0,10.5,6,3,1,50,0
269,1,0,58.0,0,1,153.4625,7,3,2,50,1
787,3,0,18.0,0,0,7.4958,4,3,1,50,1
680,1,1,36.0,0,1,512.3292,6,1,2,50,1
285,1,1,,0,0,26.0,6,3,1,50,0
80,3,0,30.0,0,0,12.475,4,3,1,50,1
15,3,0,14.0,0,0,7.8542,4,3,1,50,0
691,1,1,31.0,1,0,57.0,6,3,2,50,1
836,1,0,39.0,1,1,83.1583,4,1,3,12,1
404,3,1,28.0,1,0,15.85,6,3,2,50,0
462,3,1,34.0,0,0,8.05,6,3,1,50,0
235,2,1,24.0,0,0,10.5,6,3,1,50,0
726,3,1,20.0,0,0,8.6625,6,3,1,50,0
2,1,0,38.0,1,0,71.2833,7,1,2,50,1
344,2,1,25.0,0,0,13.0,6,3,1,50,0
722,3,1,17.0,1,0,7.0542,6,3,2,50,0
557,1,0,48.0,1,0,39.6,2,1,2,50,1
811,3,1,26.0,0,0,7.8875,6,3,1,50,0
306,1,1,0.92,1,2,151.55,3,3,4,1,1
256,3,0,29.0,0,2,15.2458,7,1,3,54,1
77,3,1,,0,0,7.8958,6,3,1,50,0
587,2,1,47.0,0,0,15.0,6,3,1,50,0
619,2,0,4.0,2,1,39.0,4,3,4,5,1
556,1,1,62.0,0,0,26.55,6,3,1,50,0
601,2,0,24.0,2,1,27.0,7,3,4,50,1
251,3,1,,0,0,7.25,6,3,1,50,0
812,3,1,39.0,0,0,24.15,6,3,1,50,0
305,3,1,,0,0,8.05,6,3,1,50,0
486,3,0,,3,1,25.4667,4,3,5,32,0
429,3,1,,0,0,7.75,6,2,1,50,0
43,3,1,,0,0,7.8958,6,1,1,50,0
192,2,1,19.0,0,0,13.0,6,3,1,50,0
741,1,1,,0,0,30.0,6,3,1,50,1
456,3,1,29.0,0,0,7.8958,6,1,1,50,1
212,2,0,35.0,0,0,21.0,4,3,1,50,1
55,1,1,65.0,0,1,61.9792,6,1,2,50,0
385,3,1,,0,0,7.8958,6,3,1,50,0
278,2,1,,0,0,0.0,6,3,1,50,0
578,1,0,39.0,1,0,55.9,7,3,2,50,1
669,3,1,43.0,0,0,8.05,6,3,1,50,0
666,2,1,32.0,2,0,73.5,6,3,3,27,0
158,3,1,30.0,0,0,8.05,6,3,1,50,0
464,2,1,48.0,0,0,13.0,6,3,1,50,0
16,2,0,55.0,0,0,16.0,7,3,1,50,1
733,2,1,,0,0,0.0,6,3,1,50,0
769,3,1,,1,0,24.15,6,2,2,50,0
552,2,1,27.0,0,0,26.0,6,3,1,50,0
676,3,1,18.0,0,0,7.775,6,3,1,50,0
323,2,0,30.0,0,0,12.35,4,2,1,50,1
172,3,1,4.0,4,1,29.125,3,2,6,43,0
886,3,0,39.0,0,5,29.125,7,2,6,43,0
237,2,1,44.0,1,0,26.0,6,3,2,50,0
5,3,1,35.0,0,0,8.05,6,3,1,50,0
614,3,1,,0,0,7.75,6,2,1,50,0
93,1,1,46.0,1,0,61.175,6,3,2,50,0
806,3,1,31.0,0,0,7.775,6,3,1,50,0
514,1,0,54.0,1,0,59.4,7,1,2,50,1
375,3,0,3.0,3,1,21.075,4,3,5,38,0
789,3,1,1.0,1,2,20.575,3,3,4,17,1
660,1,1,58.0,0,2,113.275,6,1,3,50,0
665,3,1,20.0,1,0,7.925,6,3,2,50,1
548,2,1,,0,0,13.8625,6,1,1,50,1
119,1,1,24.0,0,1,247.5208,6,1,2,50,0
191,2,0,32.0,0,0,13.0,7,3,1,50,1
310,1,0,30.0,0,0,56.9292,4,1,1,50,1
336,3,1,,0,0,7.8958,6,3,1,50,0
341,2,1,2.0,1,1,26.0,3,3,3,37,1
634,1,1,,0,0,0.0,6,3,1,50,0
81,3,1,22.0,0,0,9.0,6,3,1,50,0
361,3,1,40.0,1,4,27.9,6,3,6,49,0
799,3,1,30.0,0,0,7.2292,6,1,1,50,0
525,3,1,,0,0,7.2292,6,1,1,50,0
800,3,0,30.0,1,1,24.15,7,3,3,55,0
262,3,1,3.0,4,2,31.3875,3,3,7,3,1
363,3,0,45.0,0,1,14.4542,7,1,2,50,0
460,3,1,,0,0,7.75,6,2,1,50,0
574,3,0,,0,0,7.75,4,2,1,50,1
270,1,0,35.0,0,0,135.6333,4,3,1,50,1
288,3,1,22.0,0,0,7.8958,6,3,1,50,0
685,2,1,60.0,1,1,39.0,6,3,3,8,0
366,3,1,30.0,0,0,7.25,6,3,1,50,0
68,3,1,19.0,0,0,8.1583,6,3,1,50,0
157,3,0,16.0,0,0,7.7333,4,2,1,50,1
21,2,1,35.0,0,0,26.0,6,3,1,50,0
320,1,0,40.0,1,1,134.5,7,1,3,51,1
758,2,1,18.0,0,0,11.5,6,3,1,50,0
275,3,0,,0,0,7.75,4,2,1,50,1
725,1,1,27.0,1,0,53.1,6,3,2,50,1
831,3,0,15.0,1,0,14.4542,7,1,2,50,1
391,1,1,36.0,1,2,120.0,6,3,4,10,1
220,2,1,30.0,0,0,10.5,6,3,1,50,0
145,2,1,18.0,0,0,11.5,6,3,1,50,0
744,3,1,24.0,1,0,16.1,6,3,2,50,0
649,3,1,,0,0,7.55,6,3,1,50,0
575,3,1,16.0,0,0,8.05,6,3,1,50,0
616,2,0,24.0,1,2,65.0,4,3,4,26,1
718,2,0,27.0,0,0,10.5,4,3,1,50,1
193,3,0,19.0,1,0,7.8542,4,3,2,50,1
57,2,0,21.0,0,0,10.5,4,3,1,50,1
450,1,1,52.0,0,0,30.5,10,3,1,50,1
65,1,1,,0,0,27.7208,6,1,1,50,0
544,2,1,32.0,1,0,26.0,6,3,2,50,1
319,1,0,31.0,0,2,164.8667,4,3,3,58,1
757,3,1,28.0,0,0,7.7958,6,3,1,50,0
79,2,1,0.83,0,2,29.0,3,3,3,9,1
681,3,0,,0,0,8.1375,4,2,1,50,0
216,1,0,31.0,1,0,113.275,4,1,2,50,1
889,3,0,,1,2,23.45,4,3,4,29,0
428,2,0,19.0,0,0,26.0,4,3,1,50,1
576,3,1,19.0,0,0,14.5,6,3,1,50,0
734,2,1,23.0,0,0,13.0,6,3,1,50,0
728,3,0,,0,0,7.7375,4,2,1,50,1
854,1,0,16.0,0,1,39.4,4,3,2,50,1
121,2,1,21.0,2,0,73.5,6,3,3,27,0
466,3,1,38.0,0,0,7.05,6,3,1,50,0
169,1,1,,0,0,25.925,6,3,1,50,0
770,3,1,32.0,0,0,8.3625,6,3,1,50,0
663,1,1,47.0,0,0,25.5875,6,3,1,50,0
581,2,0,25.0,1,1,30.0,4,3,3,50,1
568,3,0,29.0,0,4,21.075,7,3,5,38,0
727,2,0,30.0,3,0,21.0,7,3,4,50,1
271,1,1,,0,0,31.0,6,3,1,50,0
670,1,0,,1,0,52.0,7,3,2,50,1
765,3,1,16.0,0,0,7.775,6,3,1,50,0
477,2,1,34.0,1,0,21.0,6,3,2,50,0
694,3,1,25.0,0,0,7.225,6,1,1,50,0
74,3,1,26.0,1,0,14.4542,6,1,2,50,0
228,3,1,20.5,0,0,7.25,6,3,1,50,0
720,3,1,33.0,0,0,7.775,6,3,1,50,0
764,1,0,36.0,1,2,120.0,7,3,4,10,1
59,2,0,5.0,1,2,27.75,4,3,4,57,1
651,3,1,,0,0,7.8958,6,3,1,50,0
137,1,0,19.0,0,2,26.2833,4,3,3,50,1
66,3,1,,1,1,15.2458,3,1,3,35,1
545,1,1,50.0,1,0,106.425,6,1,2,50,0
315,2,1,43.0,1,1,26.25,6,3,3,25,0
240,2,1,33.0,0,0,12.275,6,3,1,50,0
692,3,0,4.0,0,1,13.4167,4,1,2,50,1
178,1,0,50.0,0,0,28.7125,4,1,1,50,0
521,1,0,30.0,0,0,93.5,4,3,1,50,1
730,3,0,25.0,1,0,7.925,4,3,2,50,0
61,3,1,22.0,0,0,7.2292,6,1,1,50,0
64,3,1,4.0,3,2,27.9,3,3,6,49,0
846,3,1,42.0,0,0,7.55,6,3,1,50,0
73,2,1,21.0,0,0,73.5,6,3,1,50,0
797,1,0,49.0,0,0,25.9292,1,3,1,50,1
783,1,1,29.0,0,0,30.0,6,3,1,50,0
365,3,1,,1,0,15.5,6,2,2,50,0
435,1,1,50.0,1,0,55.9,6,3,2,50,0
695,1,1,60.0,0,0,26.55,0,3,1,50,0
398,2,1,46.0,0,0,26.0,6,3,1,50,0
414,2,1,,0,0,0.0,6,3,1,50,0
194,2,1,3.0,1,1,26.0,3,3,3,37,1
37,3,1,,0,0,7.2292,6,1,1,50,1
138,1,1,37.0,1,0,53.1,6,3,2,50,0
529,3,1,39.0,0,0,7.925,6,3,1,50,0
34,2,1,66.0,0,0,10.5,6,3,1,50,0
776,3,1,18.0,0,0,7.75,6,3,1,50,0
187,3,0,,1,0,15.5,7,2,2,50,1
245,3,1,30.0,0,0,7.225,6,1,1,50,0
572,1,0,53.0,2,0,51.4792,7,3,3,50,1
873,1,1,33.0,0,0,5.0,6,3,1,50,0
561,3,1,,0,0,7.75,6,2,1,50,0
22,2,1,34.0,0,0,13.0,6,3,1,50,1
781,3,0,13.0,0,0,7.2292,4,1,1,50,1
432,3,0,,1,0,16.1,7,3,2,50,1
63,1,1,45.0,1,0,83.475,6,3,2,50,0
579,3,0,,1,0,14.4583,7,1,2,50,0
664,3,1,36.0,0,0,7.4958,6,3,1,50,0
221,3,1,16.0,0,0,8.05,6,3,1,50,1
405,3,0,20.0,0,0,8.6625,4,3,1,50,0
33,3,0,,0,0,7.75,4,2,1,50,1
348,3,0,,1,0,16.1,7,3,2,50,1
322,3,1,27.0,0,0,7.8958,6,3,1,50,0
586,1,0,18.0,0,2,79.65,4,3,3,52,1
442,3,1,20.0,0,0,9.5,6,3,1,50,0
204,3,1,45.5,0,0,7.225,6,1,1,50,0
32,1,0,,1,0,146.5208,7,1,2,50,1
412,3,1,,0,0,6.8583,6,2,1,50,0
325,3,1,,8,2,69.55,6,3,11,46,0
506,1,1,18.0,1,0,108.9,6,1,2,50,0
751,2,0,4.0,1,1,23.0,4,3,3,56,1
786,3,1,25.0,0,0,7.25,6,3,1,50,0
560,3,0,36.0,1,0,17.4,7,3,2,50,1
407,3,1,51.0,0,0,7.75,6,3,1,50,0
29,3,0,,0,0,7.8792,4,2,1,50,1
443,3,1,25.0,1,0,7.775,6,3,2,50,0
26,3,0,38.0,1,5,31.3875,7,3,7,3,1
816,1,1,,0,0,0.0,6,3,1,50,0
42,2,0,27.0,1,0,21.0,7,3,2,50,0
527,2,0,50.0,0,0,10.5,4,3,1,50,1
541,1,0,36.0,0,2,71.0,4,3,3,14,1
567,3,1,19.0,0,0,7.8958,6,3,1,50,0
440,2,1,31.0,0,0,10.5,6,3,1,50,0
868,1,1,31.0,0,0,50.4958,6,3,1,50,0
881,2,0,25.0,0,1,26.0,7,3,2,50,1
422,3,1,21.0,0,0,7.7333,6,2,1,50,0
90,3,1,24.0,0,0,8.05,6,3,1,50,0
142,3,0,22.0,0,0,7.75,4,3,1,50,1
436,1,0,14.0,1,2,120.0,4,3,4,10,1
255,3,0,41.0,0,2,20.2125,7,3,3,44,0
239,2,1,19.0,0,0,10.5,6,3,1,50,0
97,1,1,71.0,0,0,34.6542,6,1,1,50,0
117,3,1,70.5,0,0,7.75,6,2,1,50,0
570,3,1,32.0,0,0,7.8542,6,3,1,50,1
748,2,0,30.0,0,0,13.0,4,3,1,50,1
530,2,1,23.0,2,1,11.5,6,3,4,50,0
542,3,0,9.0,4,2,31.275,4,3,7,2,0
478,3,1,29.0,1,0,7.0458,6,3,2,50,0
431,1,1,28.0,0,0,26.55,6,3,1,50,1
58,3,1,28.5,0,0,7.2292,6,1,1,50,0
784,3,1,,1,2,23.45,6,3,4,29,0
392,3,1,21.0,0,0,7.7958,6,3,1,50,1
827,3,1,,0,0,56.4958,6,3,1,50,0
688,3,1,19.0,0,0,10.1708,6,3,1,50,0
497,1,0,54.0,1,0,78.2667,4,1,2,50,1
114,3,0,20.0,1,0,9.825,4,3,2,50,0
761,3,1,,0,0,14.5,6,3,1,50,0
317,2,0,24.0,1,0,26.0,7,3,2,50,1
444,2,0,28.0,0,0,13.0,8,3,1,50,1
395,3,0,24.0,0,2,16.7,7,3,3,48,1
884,2,1,28.0,0,0,10.5,6,3,1,50,0
535,3,0,30.0,0,0,8.6625,4,3,1,50,0
807,1,1,39.0,0,0,0.0,6,3,1,50,0
584,1,1,36.0,0,0,40.125,6,1,1,50,0
791,3,1,,0,0,7.75,6,2,1,50,0
493,1,1,55.0,0,0,30.5,6,3,1,50,0
24,1,1,28.0,0,0,35.5,6,3,1,50,1
342,1,0,24.0,3,2,263.0,4,3,6,22,1
205,3,1,18.0,0,0,8.05,6,3,1,50,1
471,3,1,,0,0,7.25,6,3,1,50,0
661,1,1,50.0,2,0,133.65,1,3,3,50,1
430,3,1,32.0,0,0,8.05,6,3,1,50,1
349,3,1,3.0,1,1,15.9,3,3,3,13,1
707,2,0,45.0,0,0,13.5,7,3,1,50,1
343,2,1,28.0,0,0,13.0,6,3,1,50,0
842,2,1,16.0,0,0,10.5,6,3,1,50,0
166,3,1,9.0,0,2,20.525,3,3,3,23,1
454,1,1,49.0,1,0,89.1042,6,1,2,50,1
825,3,1,2.0,4,1,39.6875,3,3,6,39,0
104,3,1,33.0,0,0,8.6542,6,3,1,50,0
848,3,1,35.0,0,0,7.8958,6,1,1,50,0
334,3,1,16.0,2,0,18.0,6,3,3,50,0
630,3,1,,0,0,7.7333,6,2,1,50,0
678,3,0,18.0,0,0,9.8417,4,3,1,50,1
354,3,1,25.0,1,0,17.8,6,3,2,50,0
110,3,0,,1,0,24.15,4,2,2,50,1
782,1,0,17.0,1,0,57.0,7,3,2,50,1
719,3,1,,0,0,15.5,6,2,1,50,0
463,1,1,47.0,0,0,38.5,6,3,1,50,0
459,2,0,50.0,0,0,10.5,4,3,1,50,1
879,3,1,,0,0,7.8958,6,3,1,50,0
321,3,1,22.0,0,0,7.25,6,3,1,50,0
668,3,1,,0,0,7.775,6,3,1,50,0
830,1,0,62.0,0,0,80.0,7,0,1,50,1
792,2,1,16.0,0,0,26.0,6,3,1,50,0
838,3,1,,0,0,8.05,6,3,1,50,0
603,1,1,,0,0,42.4,6,3,1,50,0
845,3,1,17.0,0,0,8.6625,6,3,1,50,0
853,3,0,9.0,1,1,15.2458,4,1,3,6,0
302,3,1,,2,0,23.25,6,2,3,34,1
835,3,1,18.0,0,0,8.3,6,3,1,50,0
399,2,1,23.0,0,0,10.5,1,3,1,50,0
590,3,1,,0,0,8.05,6,3,1,50,0
774,3,1,,0,0,7.225,6,1,1,50,0
690,1,0,15.0,0,1,211.3375,4,3,2,50,1
871,3,1,26.0,0,0,7.8958,6,3,1,50,0
766,1,0,51.0,1,0,77.9583,7,3,2,50,1
780,1,0,43.0,0,1,211.3375,7,3,2,50,1
559,1,0,39.0,1,1,79.65,7,3,3,52,1
314,3,1,28.0,0,0,7.8958,6,3,1,50,0
610,1,0,40.0,0,0,153.4625,4,3,1,50,1
505,1,0,16.0,0,0,86.5,4,3,1,50,1
495,3,1,21.0,0,0,8.05,6,3,1,50,0
698,3,0,,0,0,7.7333,4,2,1,50,1
474,2,0,23.0,0,0,13.7917,7,1,1,50,1
156,1,1,51.0,0,1,61.3792,6,1,2,50,0
384,1,0,35.0,1,0,52.0,7,3,2,50,1
48,3,0,,0,0,7.75,4,2,1,50,1
686,2,1,25.0,1,2,41.5792,6,1,4,31,0
626,1,1,61.0,0,0,32.3208,6,3,1,50,0
580,3,1,32.0,0,0,7.925,6,3,1,50,1
829,3,1,,0,0,7.75,6,2,1,50,1
742,1,1,36.0,1,0,78.85,6,3,2,50,0
482,2,1,,0,0,0.0,6,3,1,50,0
340,1,1,45.0,0,0,35.5,6,3,1,50,0
295,3,1,24.0,0,0,7.8958,6,3,1,50,0
175,1,1,56.0,0,0,30.6958,6,1,1,50,0
421,3,1,,0,0,7.8958,6,1,1,50,0
704,3,1,25.0,0,0,7.7417,6,2,1,50,0
883,3,0,22.0,0,0,10.5167,4,3,1,50,0
124,2,0,32.5,0,0,13.0,4,3,1,50,1
839,3,1,32.0,0,0,56.4958,6,3,1,50,1
643,3,0,2.0,3,2,27.9,4,3,6,49,0
511,3,1,29.0,0,0,7.75,6,2,1,50,1
186,1,1,,0,0,50.0,6,3,1,50,0
814,3,0,6.0,4,2,31.275,4,3,7,2,0
264,1,1,40.0,0,0,0.0,6,3,1,50,0
519,2,0,36.0,1,0,26.0,7,3,2,50,1
199,3,0,,0,0,7.75,4,2,1,50,1
697,3,1,44.0,0,0,8.05,6,3,1,50,0
357,1,0,22.0,0,1,55.0,4,3,2,50,1
672,1,1,31.0,1,0,52.0,6,3,2,50,0
243,2,1,29.0,0,0,10.5,6,3,1,50,0
286,3,1,33.0,0,0,8.6625,6,1,1,50,0
635,3,0,9.0,3,2,27.9,4,3,6,49,0
645,3,0,0.75,2,1,19.2583,4,1,4,4,1
360,3,0,,0,0,7.8792,4,2,1,50,1
608,1,1,27.0,0,0,30.5,6,3,1,50,1
759,3,1,34.0,0,0,8.05,6,3,1,50,0
155,3,1,,0,0,7.3125,6,3,1,50,0
724,2,1,50.0,0,0,13.0,6,3,1,50,0
268,3,1,25.0,1,0,7.775,6,3,2,50,1
18,2,1,,0,0,13.0,6,3,1,50,1
550,2,1,8.0,1,1,36.75,3,3,3,16,1
655,3,0,18.0,0,0,6.75,4,2,1,50,0
112,3,0,14.5,1,0,14.4542,4,1,2,50,0
861,3,1,41.0,2,0,14.1083,6,3,3,50,0
754,3,1,23.0,0,0,7.8958,6,3,1,50,0
823,1,1,38.0,0,0,0.0,2,3,1,50,0
67,2,0,29.0,0,0,10.5,7,3,1,50,1
888,1,0,19.0,0,0,30.0,4,3,1,50,1
653,3,1,21.0,0,0,8.4333,6,3,1,50,0
862,2,1,21.0,1,0,11.5,6,3,2,50,0
632,3,1,51.0,0,0,7.0542,6,3,1,50,0
215,3,1,,1,0,7.75,6,2,2,50,0
709,1,0,22.0,0,0,151.55,4,3,1,50,1
481,3,1,9.0,5,2,46.9,3,3,8,24,0
750,3,1,31.0,0,0,7.75,6,2,1,50,0
282,3,1,28.0,0,0,7.8542,6,3,1,50,0
318,2,1,54.0,0,0,14.0,1,3,1,50,0
410,3,0,,3,1,25.4667,4,3,5,32,0
564,3,1,,0,0,8.05,6,3,1,50,0
417,2,0,34.0,1,1,32.5,7,3,3,19,1
512,3,1,,0,0,8.05,6,3,1,50,0
132,3,1,20.0,0,0,7.05,6,3,1,50,0
147,3,1,27.0,0,0,7.7958,6,3,1,50,1
723,2,1,34.0,0,0,13.0,6,3,1,50,0
866,2,0,42.0,0,0,13.0,7,3,1,50,1
533,3,1,17.0,1,1,7.2292,6,1,3,20,0
793,3,0,,8,2,69.55,4,3,11,46,0
536,2,0,7.0,0,2,26.25,4,3,3,25,1
524,1,0,44.0,0,1,57.9792,7,1,2,50,1
461,1,1,48.0,0,0,26.55,6,3,1,50,1
347,2,0,40.0,0,0,13.0,4,3,1,50,1
689,3,1,18.0,0,0,7.7958,6,3,1,50,0
133,3,0,47.0,1,0,14.5,7,3,2,50,0
662,3,1,40.0,0,0,7.225,6,1,1,50,0
705,3,1,26.0,1,0,7.8542,6,3,2,50,0
599,3,1,,0,0,7.225,6,1,1,50,0
244,3,1,22.0,0,0,7.125,6,3,1,50,0
181,3,0,,8,2,69.55,4,3,11,46,0
438,2,0,24.0,2,3,18.75,7,3,6,50,1
423,3,1,29.0,0,0,7.875,6,3,1,50,0
843,1,0,30.0,0,0,31.0,4,1,1,50,1
777,3,1,,0,0,7.75,6,2,1,50,0
539,3,1,,0,0,14.5,6,3,1,50,0
326,1,0,36.0,0,0,135.6333,4,1,1,50,1
60,3,1,11.0,5,2,46.9,3,3,8,24,0
562,3,1,40.0,0,0,7.8958,6,3,1,50,0
279,3,1,7.0,4,1,29.125,3,2,6,43,0
383,3,1,32.0,0,0,7.925,6,3,1,50,0
249,1,1,37.0,1,1,52.5542,6,3,3,50,1
14,3,1,39.0,1,5,31.275,6,3,7,2,0
840,1,1,,0,0,29.7,6,1,1,50,1
760,1,0,33.0,0,0,86.5,2,3,1,50,1
350,3,1,42.0,0,0,8.6625,6,3,1,50,0
801,2,1,34.0,0,0,13.0,6,3,1,50,0
426,3,1,,0,0,7.25,6,3,1,50,0
370,1,0,24.0,0,0,69.3,5,1,1,50,1
762,3,1,41.0,0,0,7.125,6,3,1,50,0
637,3,1,32.0,0,0,7.925,6,3,1,50,0
35,1,1,28.0,1,0,82.1708,6,1,2,50,0
520,3,1,32.0,0,0,7.8958,6,3,1,50,0
546,1,1,64.0,0,0,26.0,6,3,1,50,0
828,2,1,1.0,0,2,37.0042,3,1,3,33,1
